subset_id,active_module_count,active_modules,missing_modules,satisfied_obligations,failed_obligations,failure_classes,pass_declared_specification,certificate_role
M000000,0,,TOKEN_OR_SYMBOL_SPACE;CONTEXT_CONDITIONING_STATE;LEARNED_PARAMETERIZED_TRANSFORM;CONDITIONAL_LINGUISTIC_OUTPUT_SURFACE;SEQUENCE_MODELING_OBJECTIVE_OR_EQUIVALENT_FITTING_CRITERION;DECODING_OR_EMISSION_INTERFACE,,O1_LINGUISTIC_ADDRESSABILITY;O2_CONTEXT_CONDITIONABILITY;O3_LEARNED_GENERALIZING_TRANSFORM;O4_CONDITIONAL_LINGUISTIC_ALTERNATIVES;O5_SEQUENCE_LEVEL_LANGUAGE_FIT;O6_OPERATIONAL_EMISSION_PATH,"classifier, retriever, ranker, or contrastive embedding model;context-free historical language model or lookup process;encoder-only representation, embedding engine, or latent feature extractor without conditional linguistic output alternatives;isolated checkpoint tensor, latent scorer, or non-operational model core;non-linguistic vector processor or non-token text-adjacent tool;rule base, retrieval index, small table, or unfitted transform",False,PROPER_SUBSET_FAIL
M100000,1,TOKEN_OR_SYMBOL_SPACE,CONTEXT_CONDITIONING_STATE;LEARNED_PARAMETERIZED_TRANSFORM;CONDITIONAL_LINGUISTIC_OUTPUT_SURFACE;SEQUENCE_MODELING_OBJECTIVE_OR_EQUIVALENT_FITTING_CRITERION;DECODING_OR_EMISSION_INTERFACE,O1_LINGUISTIC_ADDRESSABILITY,O2_CONTEXT_CONDITIONABILITY;O3_LEARNED_GENERALIZING_TRANSFORM;O4_CONDITIONAL_LINGUISTIC_ALTERNATIVES;O5_SEQUENCE_LEVEL_LANGUAGE_FIT;O6_OPERATIONAL_EMISSION_PATH,"classifier, retriever, ranker, or contrastive embedding model;context-free historical language model or lookup process;encoder-only representation, embedding engine, or latent feature extractor without conditional linguistic output alternatives;isolated checkpoint tensor, latent scorer, or non-operational model core;rule base, retrieval index, small table, or unfitted transform",False,PROPER_SUBSET_FAIL
M010000,1,CONTEXT_CONDITIONING_STATE,TOKEN_OR_SYMBOL_SPACE;LEARNED_PARAMETERIZED_TRANSFORM;CONDITIONAL_LINGUISTIC_OUTPUT_SURFACE;SEQUENCE_MODELING_OBJECTIVE_OR_EQUIVALENT_FITTING_CRITERION;DECODING_OR_EMISSION_INTERFACE,,O1_LINGUISTIC_ADDRESSABILITY;O2_CONTEXT_CONDITIONABILITY;O3_LEARNED_GENERALIZING_TRANSFORM;O4_CONDITIONAL_LINGUISTIC_ALTERNATIVES;O5_SEQUENCE_LEVEL_LANGUAGE_FIT;O6_OPERATIONAL_EMISSION_PATH,"classifier, retriever, ranker, or contrastive embedding model;context-free historical language model or lookup process;encoder-only representation, embedding engine, or latent feature extractor without conditional linguistic output alternatives;isolated checkpoint tensor, latent scorer, or non-operational model core;non-linguistic vector processor or non-token text-adjacent tool;rule base, retrieval index, small table, or unfitted transform",False,PROPER_SUBSET_FAIL
M001000,1,LEARNED_PARAMETERIZED_TRANSFORM,TOKEN_OR_SYMBOL_SPACE;CONTEXT_CONDITIONING_STATE;CONDITIONAL_LINGUISTIC_OUTPUT_SURFACE;SEQUENCE_MODELING_OBJECTIVE_OR_EQUIVALENT_FITTING_CRITERION;DECODING_OR_EMISSION_INTERFACE,,O1_LINGUISTIC_ADDRESSABILITY;O2_CONTEXT_CONDITIONABILITY;O3_LEARNED_GENERALIZING_TRANSFORM;O4_CONDITIONAL_LINGUISTIC_ALTERNATIVES;O5_SEQUENCE_LEVEL_LANGUAGE_FIT;O6_OPERATIONAL_EMISSION_PATH,"classifier, retriever, ranker, or contrastive embedding model;context-free historical language model or lookup process;encoder-only representation, embedding engine, or latent feature extractor without conditional linguistic output alternatives;isolated checkpoint tensor, latent scorer, or non-operational model core;non-linguistic vector processor or non-token text-adjacent tool;rule base, retrieval index, small table, or unfitted transform",False,PROPER_SUBSET_FAIL
M000100,1,CONDITIONAL_LINGUISTIC_OUTPUT_SURFACE,TOKEN_OR_SYMBOL_SPACE;CONTEXT_CONDITIONING_STATE;LEARNED_PARAMETERIZED_TRANSFORM;SEQUENCE_MODELING_OBJECTIVE_OR_EQUIVALENT_FITTING_CRITERION;DECODING_OR_EMISSION_INTERFACE,,O1_LINGUISTIC_ADDRESSABILITY;O2_CONTEXT_CONDITIONABILITY;O3_LEARNED_GENERALIZING_TRANSFORM;O4_CONDITIONAL_LINGUISTIC_ALTERNATIVES;O5_SEQUENCE_LEVEL_LANGUAGE_FIT;O6_OPERATIONAL_EMISSION_PATH,"classifier, retriever, ranker, or contrastive embedding model;context-free historical language model or lookup process;encoder-only representation, embedding engine, or latent feature extractor without conditional linguistic output alternatives;isolated checkpoint tensor, latent scorer, or non-operational model core;non-linguistic vector processor or non-token text-adjacent tool;rule base, retrieval index, small table, or unfitted transform",False,PROPER_SUBSET_FAIL
M000010,1,SEQUENCE_MODELING_OBJECTIVE_OR_EQUIVALENT_FITTING_CRITERION,TOKEN_OR_SYMBOL_SPACE;CONTEXT_CONDITIONING_STATE;LEARNED_PARAMETERIZED_TRANSFORM;CONDITIONAL_LINGUISTIC_OUTPUT_SURFACE;DECODING_OR_EMISSION_INTERFACE,,O1_LINGUISTIC_ADDRESSABILITY;O2_CONTEXT_CONDITIONABILITY;O3_LEARNED_GENERALIZING_TRANSFORM;O4_CONDITIONAL_LINGUISTIC_ALTERNATIVES;O5_SEQUENCE_LEVEL_LANGUAGE_FIT;O6_OPERATIONAL_EMISSION_PATH,"classifier, retriever, ranker, or contrastive embedding model;context-free historical language model or lookup process;encoder-only representation, embedding engine, or latent feature extractor without conditional linguistic output alternatives;isolated checkpoint tensor, latent scorer, or non-operational model core;non-linguistic vector processor or non-token text-adjacent tool;rule base, retrieval index, small table, or unfitted transform",False,PROPER_SUBSET_FAIL
M000001,1,DECODING_OR_EMISSION_INTERFACE,TOKEN_OR_SYMBOL_SPACE;CONTEXT_CONDITIONING_STATE;LEARNED_PARAMETERIZED_TRANSFORM;CONDITIONAL_LINGUISTIC_OUTPUT_SURFACE;SEQUENCE_MODELING_OBJECTIVE_OR_EQUIVALENT_FITTING_CRITERION,,O1_LINGUISTIC_ADDRESSABILITY;O2_CONTEXT_CONDITIONABILITY;O3_LEARNED_GENERALIZING_TRANSFORM;O4_CONDITIONAL_LINGUISTIC_ALTERNATIVES;O5_SEQUENCE_LEVEL_LANGUAGE_FIT;O6_OPERATIONAL_EMISSION_PATH,"classifier, retriever, ranker, or contrastive embedding model;context-free historical language model or lookup process;encoder-only representation, embedding engine, or latent feature extractor without conditional linguistic output alternatives;isolated checkpoint tensor, latent scorer, or non-operational model core;non-linguistic vector processor or non-token text-adjacent tool;rule base, retrieval index, small table, or unfitted transform",False,PROPER_SUBSET_FAIL
M110000,2,TOKEN_OR_SYMBOL_SPACE;CONTEXT_CONDITIONING_STATE,LEARNED_PARAMETERIZED_TRANSFORM;CONDITIONAL_LINGUISTIC_OUTPUT_SURFACE;SEQUENCE_MODELING_OBJECTIVE_OR_EQUIVALENT_FITTING_CRITERION;DECODING_OR_EMISSION_INTERFACE,O1_LINGUISTIC_ADDRESSABILITY,O2_CONTEXT_CONDITIONABILITY;O3_LEARNED_GENERALIZING_TRANSFORM;O4_CONDITIONAL_LINGUISTIC_ALTERNATIVES;O5_SEQUENCE_LEVEL_LANGUAGE_FIT;O6_OPERATIONAL_EMISSION_PATH,"classifier, retriever, ranker, or contrastive embedding model;context-free historical language model or lookup process;encoder-only representation, embedding engine, or latent feature extractor without conditional linguistic output alternatives;isolated checkpoint tensor, latent scorer, or non-operational model core;rule base, retrieval index, small table, or unfitted transform",False,PROPER_SUBSET_FAIL
M101000,2,TOKEN_OR_SYMBOL_SPACE;LEARNED_PARAMETERIZED_TRANSFORM,CONTEXT_CONDITIONING_STATE;CONDITIONAL_LINGUISTIC_OUTPUT_SURFACE;SEQUENCE_MODELING_OBJECTIVE_OR_EQUIVALENT_FITTING_CRITERION;DECODING_OR_EMISSION_INTERFACE,O1_LINGUISTIC_ADDRESSABILITY,O2_CONTEXT_CONDITIONABILITY;O3_LEARNED_GENERALIZING_TRANSFORM;O4_CONDITIONAL_LINGUISTIC_ALTERNATIVES;O5_SEQUENCE_LEVEL_LANGUAGE_FIT;O6_OPERATIONAL_EMISSION_PATH,"classifier, retriever, ranker, or contrastive embedding model;context-free historical language model or lookup process;encoder-only representation, embedding engine, or latent feature extractor without conditional linguistic output alternatives;isolated checkpoint tensor, latent scorer, or non-operational model core;rule base, retrieval index, small table, or unfitted transform",False,PROPER_SUBSET_FAIL
M100100,2,TOKEN_OR_SYMBOL_SPACE;CONDITIONAL_LINGUISTIC_OUTPUT_SURFACE,CONTEXT_CONDITIONING_STATE;LEARNED_PARAMETERIZED_TRANSFORM;SEQUENCE_MODELING_OBJECTIVE_OR_EQUIVALENT_FITTING_CRITERION;DECODING_OR_EMISSION_INTERFACE,O1_LINGUISTIC_ADDRESSABILITY,O2_CONTEXT_CONDITIONABILITY;O3_LEARNED_GENERALIZING_TRANSFORM;O4_CONDITIONAL_LINGUISTIC_ALTERNATIVES;O5_SEQUENCE_LEVEL_LANGUAGE_FIT;O6_OPERATIONAL_EMISSION_PATH,"classifier, retriever, ranker, or contrastive embedding model;context-free historical language model or lookup process;encoder-only representation, embedding engine, or latent feature extractor without conditional linguistic output alternatives;isolated checkpoint tensor, latent scorer, or non-operational model core;rule base, retrieval index, small table, or unfitted transform",False,PROPER_SUBSET_FAIL
M100010,2,TOKEN_OR_SYMBOL_SPACE;SEQUENCE_MODELING_OBJECTIVE_OR_EQUIVALENT_FITTING_CRITERION,CONTEXT_CONDITIONING_STATE;LEARNED_PARAMETERIZED_TRANSFORM;CONDITIONAL_LINGUISTIC_OUTPUT_SURFACE;DECODING_OR_EMISSION_INTERFACE,O1_LINGUISTIC_ADDRESSABILITY;O5_SEQUENCE_LEVEL_LANGUAGE_FIT,O2_CONTEXT_CONDITIONABILITY;O3_LEARNED_GENERALIZING_TRANSFORM;O4_CONDITIONAL_LINGUISTIC_ALTERNATIVES;O6_OPERATIONAL_EMISSION_PATH,"context-free historical language model or lookup process;encoder-only representation, embedding engine, or latent feature extractor without conditional linguistic output alternatives;isolated checkpoint tensor, latent scorer, or non-operational model core;rule base, retrieval index, small table, or unfitted transform",False,PROPER_SUBSET_FAIL
